name,price
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 4) ظرفیت 64GB - مشکی (ویتنام),"
                                        5,309
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M13 (RAM 4) ظرفیت 64GB - سبز,"
                                        5,329
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 4) ظرفیت 64GB - سبز روشن (ویتنام),"
                                        5,350
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M13 (RAM 4) ظرفیت 64GB - آبی تیره,"
                                        5,399
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 4) ظرفیت 128GB - مشکی (ویتنام),"
                                        6,379
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 6) ظرفیت 128GB - قرمز,"
                                        6,599
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 6) ظرفیت 128GB - نقره ای,"
                                        6,659
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A13 - SM-A137 (RAM 4) ظرفیت 64GB - سفید (ویتنام),"
                                        6,820
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A13 - SM-A137 (RAM 4) ظرفیت 64GB - آبی (ویتنام),"
                                        6,839
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A13 (RAM 4) ظرفیت 64GB - مشکی (ویتنام),"
                                        6,909
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A23 (RAM 4) ظرفیت 64GB - آبی (ویتنام),"
                                        6,950
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A23 (RAM 4) ظرفیت 64GB - سفید (ویتنام),"
                                        6,999
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 4) ظرفیت 128GB - سبز روشن (ویتنام),"
                                        7,039
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A23 (RAM 4) ظرفیت 64GB - مشکی (ویتنام),"
                                        7,050
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 4) ظرفیت 128GB - نقره ای (ویتنام),"
                                        7,089
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M32 (RAM 4) ظرفیت 64GB - آبی روشن,"
                                        7,199
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A14 (RAM 6) ظرفیت 128GB - سبز (ویتنام),"
                                        7,200
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy F23 5G (RAM 4) ظرفیت 128GB - آبی,"
                                        7,299
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 6) ظرفیت 128GB - سبز روشن,"
                                        7,659
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 6) ظرفیت 128GB - سبز روشن (ویتنام),"
                                        7,799
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M33 5G (RAM 6) ظرفیت 128GB - سبز,"
                                        8,189
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M33 5G (RAM 6) ظرفیت 128GB - قهوه ای,"
                                        8,250
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy M33 5G (RAM 6) ظرفیت 128GB - آبی,"
                                        8,290
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 8) ظرفیت 128GB - سبز,"
                                        8,899
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 8) ظرفیت 128GB - سبز (ویتنام),"
                                        8,999
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A24 (RAM 8) ظرفیت 128GB - مشکی,"
                                        9,099
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A23 (RAM 6) ظرفیت 128GB - آبی (ویتنام),"
                                        9,190
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A34 5G (RAM 6) ظرفیت 128GB - مشکی,"
                                        10,079
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A32 (RAM 6) ظرفیت 128GB-آبی,"
                                        10,300
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A34 5G (RAM 8) ظرفیت 128GB - سبز,"
                                        10,349
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A32 (RAM 6) ظرفیت 128GB-بنفش,"
                                        10,350
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A32 (RAM 6) ظرفیت 128GB-سفید,"
                                        10,500
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A33 5G (RAM 6) ظرفیت 128GB - آبی,"
                                        10,550
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A32 (RAM 6) ظرفیت 128GB-مشکی,"
                                        10,650
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A33 5G (RAM 6) ظرفیت 128GB - هلویی (ویتنام),"
                                        10,650
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A33 5G (RAM 6) ظرفیت 128GB - سفید,"
                                        10,699
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A33 5G (RAM 6) ظرفیت 128GB - مشکی,"
                                        10,750
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A34 5G (RAM 8) ظرفیت 128GB- سبز (ویتنام),"
                                        10,750
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A34 5G (RAM 8) ظرفیت 128GB - مشکی (ویتنام),"
                                        11,049
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A32 (RAM 6) ظرفیت 128GB - مشکی (ویتنام),"
                                        11,199
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A33 5G (RAM 8) ظرفیت 128GB - مشکی (ویتنام),"
                                        12,250
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A53 5G (RAM 8) ظرفیت 128GB - آبی,"
                                        12,400
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A53 5G (RAM 8) ظرفیت 128GB - مشکی,"
                                        12,700
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A53 5G (RAM 8) ظرفیت 128GB - هلویی,"
                                        12,850
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A53 5G (RAM 8) ظرفیت 128GB - مشکی (ویتنام),"
                                        13,290
                                   
                                "
گوشی موبایل سامسونگ مدل Galaxy A53 5G (RAM 8) ظرفیت 256GB - آبی,"
                                        13,999
                                   
                                "
